participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decisions,player.decisions_initial,player.decisions_final,player.show_ai,player.points,player.decisions_result,player.subsession_id,player.group_id,player.payoff,group.id_in_subsession,group.subsession_id,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,97w8nlvk,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:32:49.351542+00:00,1,,,430,1,"{""1358466"":""Approve"",""1530989"":""Reject"",""2215152"":""Reject"",""2485187"":""Approve"",""2794690"":""Approve"",""3155053"":""Reject"",""3155823"":""Reject"",""3161131"":""Reject"",""3198607"":""Reject"",""3235332"":""Approve""}","{""1358466"":""Approve"",""1530989"":""Reject"",""2215152"":""Reject"",""2485187"":""Approve"",""2794690"":""Approve"",""3155053"":""Reject"",""3155823"":""Reject"",""3161131"":""Reject"",""3198607"":""Reject"",""3235332"":""Approve""}",{},,50,"{""3198607"": 0, ""3235332"": 10, ""1530989"": 10, ""3161131"": 10, ""2215152"": 0, ""3155823"": 0, ""2485187"": 10, ""3155053"": 10, ""2794690"": 10, ""1358466"": -10}",3,3,50,1,3,3,c6ngv30x,sep24-11:30-part1,,,,,0
2,t0q2jra3,,0,0,80,,,,,,0,,,0,2,{},{},{},,0,{},3,3,0,1,3,3,c6ngv30x,sep24-11:30-part1,,,,,0
3,358jr8oq,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:33:37.452481+00:00,1,,,400,3,"{""1358466"":""Approve"",""1530989"":""Approve"",""2215152"":""Reject"",""2485187"":""Approve"",""2794690"":""Approve"",""3155053"":""Reject"",""3155823"":""Reject"",""3161131"":""Approve"",""3198607"":""Approve"",""3235332"":""Approve""}","{""1358466"":""Approve"",""1530989"":""Approve"",""2215152"":""Approve"",""2485187"":""Approve"",""2794690"":""Approve"",""3155053"":""Reject"",""3155823"":""Reject"",""3161131"":""Approve"",""3198607"":""Approve"",""3235332"":""Approve""}","{""1358466"":""Approve"",""1530989"":""Approve"",""2215152"":""Reject"",""2485187"":""Approve"",""2794690"":""Approve"",""3155053"":""Reject"",""3155823"":""Reject"",""3161131"":""Approve"",""3198607"":""Approve"",""3235332"":""Approve""}",,20,"{""3198607"": 10, ""3235332"": 10, ""1530989"": -10, ""3161131"": -10, ""2215152"": 0, ""3155823"": 0, ""2485187"": 10, ""3155053"": 10, ""2794690"": 10, ""1358466"": -10}",3,3,20,1,3,3,c6ngv30x,sep24-11:30-part1,,,,,0
4,8cvc04gz,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:34:11.371838+00:00,1,,,460,4,"{""1358466"":""Reject"",""1530989"":""Approve"",""2215152"":""Reject"",""2485187"":""Approve"",""2794690"":""Reject"",""3155053"":""Approve"",""3155823"":""Approve"",""3161131"":""Approve"",""3198607"":""Approve"",""3235332"":""Reject""}","{""1358466"":""Approve"",""1530989"":""Approve"",""2215152"":""Reject"",""2485187"":""Approve"",""2794690"":""Reject"",""3155053"":""Approve"",""3155823"":""Approve"",""3161131"":""Approve"",""3198607"":""Approve"",""3235332"":""Reject""}","{""1358466"":""Reject"",""1530989"":""Approve"",""2215152"":""Reject"",""2485187"":""Approve"",""2794690"":""Reject"",""3155053"":""Approve"",""3155823"":""Approve"",""3161131"":""Approve"",""3198607"":""Approve"",""3235332"":""Reject""}",,10,"{""3198607"": 10, ""3235332"": 0, ""1530989"": -10, ""3161131"": -10, ""2215152"": 0, ""3155823"": 10, ""2485187"": 10, ""3155053"": -10, ""2794690"": 0, ""1358466"": 10}",3,3,10,1,3,3,c6ngv30x,sep24-11:30-part1,,,,,0
5,49t42mv8,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:33:09.147859+00:00,1,,,450,5,"{""1358466"":""Approve"",""1530989"":""Reject"",""2215152"":""Reject"",""2485187"":""Approve"",""2794690"":""Approve"",""3155053"":""Reject"",""3155823"":""Reject"",""3161131"":""Approve"",""3198607"":""Reject"",""3235332"":""Approve""}","{""1358466"":""Approve"",""1530989"":""Reject"",""2215152"":""Reject"",""2485187"":""Approve"",""2794690"":""Approve"",""3155053"":""Reject"",""3155823"":""Reject"",""3161131"":""Approve"",""3198607"":""Reject"",""3235332"":""Reject""}","{""1358466"":""Approve"",""1530989"":""Reject"",""2215152"":""Reject"",""2485187"":""Approve"",""2794690"":""Approve"",""3155053"":""Reject"",""3155823"":""Reject"",""3161131"":""Approve"",""3198607"":""Reject"",""3235332"":""Approve""}",,30,"{""3198607"": 0, ""3235332"": 10, ""1530989"": 10, ""3161131"": -10, ""2215152"": 0, ""3155823"": 0, ""2485187"": 10, ""3155053"": 10, ""2794690"": 10, ""1358466"": -10}",3,3,30,1,3,3,c6ngv30x,sep24-11:30-part1,,,,,0
6,xov5hjox,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:35:13.184022+00:00,1,,,450,6,"{""1358466"":""Approve"",""1530989"":""Approve"",""2215152"":""Reject"",""2485187"":""Approve"",""2794690"":""Reject"",""3155053"":""Reject"",""3155823"":""Approve"",""3161131"":""Reject"",""3198607"":""Approve"",""3235332"":""Approve""}","{""1358466"":""Approve"",""1530989"":""Approve"",""2215152"":""Reject"",""2485187"":""Approve"",""2794690"":""Reject"",""3155053"":""Reject"",""3155823"":""Approve"",""3161131"":""Reject"",""3198607"":""Approve"",""3235332"":""Approve""}",{},,40,"{""3198607"": 10, ""3235332"": 10, ""1530989"": -10, ""3161131"": 10, ""2215152"": 0, ""3155823"": 10, ""2485187"": 10, ""3155053"": 10, ""2794690"": 0, ""1358466"": -10}",3,3,40,1,3,3,c6ngv30x,sep24-11:30-part1,,,,,0
7,4qwb2mjv,,0,0,80,,,,,,0,,,0,7,{},{},{},,0,{},3,3,0,1,3,3,c6ngv30x,sep24-11:30-part1,,,,,0
8,oh1ejy0h,,0,0,80,,,,,,0,,,0,8,{},{},{},,0,{},3,3,0,1,3,3,c6ngv30x,sep24-11:30-part1,,,,,0
9,h1zrsuuv,,0,0,80,,,,,,0,,,0,9,{},{},{},,0,{},3,3,0,1,3,3,c6ngv30x,sep24-11:30-part1,,,,,0
10,inw3xrnp,,0,0,80,,,,,,0,,,0,10,{},{},{},,0,{},3,3,0,1,3,3,c6ngv30x,sep24-11:30-part1,,,,,0
1,97w8nlvk,,0,80,80,unnamed_project,10,EndOfExperiment,150.210.231.20,2018-09-24 15:32:49.351542+00:00,1,,,430,1,"{""1282615"":""Reject"",""1677240"":""Approve"",""1687729"":""Reject"",""1816424"":""Reject"",""2309025"":""Reject"",""2383131"":""Approve"",""2836762"":""Approve"",""2905247"":""Reject"",""3159632"":""Approve"",""3163768"":""Approve""}","{""1282615"":""Reject"",""1677240"":""Approve"",""1687729"":""Reject"",""1816424"":""Reject"",""2309025"":""Reject"",""2383131"":""Approve"",""2836762"":""Approve"",""2905247"":""Reject"",""3159632"":""Approve"",""3163768"":""Approve""}",{},,30,"{""1282615"": 10, ""2383131"": 10, ""2905247"": 0, ""1687729"": 0, ""2309025"": 0, ""1816424"": 10, ""3163768"": 10, ""3159632"": -10, ""1677240"": 10, ""2836762"": -10}",4,4,30,1,4,4,c6ngv30x,sep24-11:30-part1,,,,,0
2,t0q2jra3,,0,0,80,,,,,,0,,,0,2,{},{},{},,0,{},4,4,0,1,4,4,c6ngv30x,sep24-11:30-part1,,,,,0
