"","round","loan_id","p1_dec","p2_dec","p3_dec","p4_dec","p5_dec","p6_dec","p7_dec","p8_dec","p9_dec","p10_dec"
"120",10,"3157428","Approve",NA,"Approve",NA,"Approve","Approve",NA,NA,NA,NA
"121",1,"1334596","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"122",1,"1438057","Reject","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"123",1,"1439480","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"124",1,"1470353","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"125",1,"1529432","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"126",1,"1534293","Approve","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"127",1,"1625556","Reject","Reject","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"128",1,"1857226","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"129",1,"3158207","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"130",1,"3235599","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"131",2,"1227988","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"132",2,"1325134","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"133",2,"1347768","Reject","Reject","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"134",2,"1508178","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"135",2,"1531491","Reject","Reject","Reject","Reject","Approve","Approve",NA,NA,NA,NA
"136",2,"1683861","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"137",2,"1866661","Reject","Reject","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"138",2,"2175528","Approve","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"139",2,"3105437","Approve","Reject","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"140",2,"3154245","Approve","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"141",3,"1358466","Approve","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"142",3,"1530989","Approve","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"143",3,"2215152","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"144",3,"2485187","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"145",3,"2794690","Reject","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"146",3,"3155053","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"147",3,"3155823","Reject","Approve","Approve","Reject","Approve","Reject",NA,NA,NA,NA
"148",3,"3161131","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"149",3,"3198607","Reject","Reject","Approve","Reject","Approve","Reject",NA,NA,NA,NA
"150",3,"3235332","Approve","Approve","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"151",4,"1282615","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"152",4,"1677240","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"153",4,"1687729","Reject","Reject","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"154",4,"1816424","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"155",4,"2309025","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"156",4,"2383131","Approve","Reject","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"157",4,"2836762","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"158",4,"2905247","Reject","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"159",4,"3159632","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"160",4,"3163768","Reject","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"161",5,"1286676","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"162",5,"1411592","Approve","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"163",5,"1468720","Approve","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"164",5,"1587833","Reject","Reject","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"165",5,"1600462","Approve","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"166",5,"1608199","Reject","Reject","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"167",5,"2365728","Reject","Reject","Approve","Reject","Reject","Approve",NA,NA,NA,NA
"168",5,"2379196","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"169",5,"3160349","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"170",5,"3265412","Reject","Reject","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"171",6,"1403327","Reject","Reject","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"172",6,"1455164","Reject","Reject","Approve","Reject","Approve","Reject",NA,NA,NA,NA
"173",6,"1490388","Approve","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"174",6,"1524519","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"175",6,"1696113","Approve","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"176",6,"2080779","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"177",6,"2218127","Reject","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"178",6,"2794783","Reject","Approve","Reject","Reject","Approve","Approve",NA,NA,NA,NA
"179",6,"2826396","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"180",6,"3236738","Approve","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"181",7,"1295173","Reject","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"182",7,"1343768","Approve","Approve","Approve","Reject","Reject","Approve",NA,NA,NA,NA
"183",7,"1416499","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"184",7,"1446006","Approve","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"185",7,"1549100","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"186",7,"1593711","Reject","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"187",7,"1608526","Reject","Reject","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"188",7,"2089773","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"189",7,"2217033","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"190",7,"3296223","Approve","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"191",8,"1313388","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"192",8,"1318579","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"193",8,"1428542","Reject","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"194",8,"1510063","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"195",8,"1544722","Reject","Approve","Approve","Reject","Approve","Reject",NA,NA,NA,NA
"196",8,"1559058","Reject","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"197",8,"1618903","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"198",8,"2380536","Approve","Approve","Approve","Reject","Reject","Approve",NA,NA,NA,NA
"199",8,"3054732","Approve","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"200",8,"3064937","Reject","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"201",9,"1475237","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"202",9,"1600579","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"203",9,"1678556","Reject","Reject","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"204",9,"2373125","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"205",9,"2635597","Approve","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"206",9,"2644637","Approve","Approve","Approve","Reject","Reject","Approve",NA,NA,NA,NA
"207",9,"2836821","Reject","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"208",9,"2974581","Reject","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"209",9,"3056242","Reject","Reject","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"210",9,"3239736","Approve","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"211",10,"1290462","Reject","Reject","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"212",10,"1328666","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"213",10,"1427798","Approve","Approve","Approve","Reject","Approve","Reject",NA,NA,NA,NA
"214",10,"1454668","Reject","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"215",10,"1508682","Approve","Reject","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"216",10,"1528128","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"217",10,"1592631","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"218",10,"2604708","Approve","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"219",10,"3151559","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"220",10,"3157428","Approve","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"221",1,"1334596","Reject","Reject",NA,"Reject","Reject","Reject",NA,NA,NA,NA
"222",1,"1438057","Reject","Reject",NA,"Reject","Approve","Approve",NA,NA,NA,NA
"223",1,"1439480","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"224",1,"1470353","Reject","Reject",NA,"Reject","Reject","Approve",NA,NA,NA,NA
"225",1,"1529432","Reject","Reject",NA,"Reject","Reject","Reject",NA,NA,NA,NA
"226",1,"1534293","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"227",1,"1625556","Approve","Reject","Approve","Reject","Reject","Approve",NA,NA,NA,NA
"228",1,"1857226","Approve","Reject",NA,"Reject","Approve","Reject",NA,NA,NA,NA
"229",1,"3158207","Approve","Reject",NA,"Reject","Reject","Reject",NA,NA,NA,NA
"230",1,"3235599","Approve","Reject",NA,"Reject","Reject","Reject",NA,NA,NA,NA
"231",2,"1227988","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"232",2,"1325134","Reject","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"233",2,"1347768","Reject","Reject","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"234",2,"1508178","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"235",2,"1531491","Reject","Approve",NA,"Reject","Reject","Reject",NA,NA,NA,NA
"236",2,"1683861","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"237",2,"1866661","Approve","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"238",2,"2175528","Approve","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"239",2,"3105437","Reject","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"240",2,"3154245","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"241",3,"1358466","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"242",3,"1530989","Approve","Reject","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"243",3,"2215152","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"244",3,"2485187","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"245",3,"2794690","Reject","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"246",3,"3155053","Reject","Reject",NA,"Reject","Reject","Reject",NA,NA,NA,NA
"247",3,"3155823","Approve","Approve","Reject","Approve","Approve","Reject",NA,NA,NA,NA
"248",3,"3161131","Reject","Reject",NA,"Reject","Approve","Reject",NA,NA,NA,NA
"249",3,"3198607","Approve","Approve","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"250",3,"3235332","Reject","Approve","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"251",4,"1282615","Reject","Reject","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"252",4,"1677240","Approve","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"253",4,"1687729","Reject","Reject",NA,"Approve","Reject","Reject",NA,NA,NA,NA
"254",4,"1816424","Reject","Reject",NA,"Reject","Reject","Approve",NA,NA,NA,NA
"255",4,"2309025","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"256",4,"2383131","Approve","Approve","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"257",4,"2836762","Approve","Reject",NA,"Reject","Reject","Approve",NA,NA,NA,NA
"258",4,"2905247","Approve","Approve","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"259",4,"3159632","Reject","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"260",4,"3163768","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"261",5,"1286676","Reject","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"262",5,"1411592","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"263",5,"1468720","Approve","Approve","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"264",5,"1587833","Approve","Approve","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"265",5,"1600462","Approve","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"266",5,"1608199","Approve","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"267",5,"2365728","Approve","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"268",5,"2379196","Reject","Approve","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"269",5,"3160349","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"270",5,"3265412","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"271",6,"1403327","Reject","Reject","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"272",6,"1455164","Reject","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"273",6,"1490388","Reject","Approve","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"274",6,"1524519","Reject","Reject",NA,"Reject","Reject","Reject",NA,NA,NA,NA
"275",6,"1696113","Approve","Approve","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"276",6,"2080779","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"277",6,"2218127","Approve","Reject",NA,"Approve","Reject","Approve",NA,NA,NA,NA
"278",6,"2794783","Reject","Approve",NA,"Reject","Approve","Approve",NA,NA,NA,NA
"279",6,"2826396","Reject","Reject",NA,"Reject","Reject","Reject",NA,NA,NA,NA
"280",6,"3236738","Approve","Approve",NA,"Approve","Reject","Approve",NA,NA,NA,NA
"281",7,"1295173","Approve","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"282",7,"1343768","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"283",7,"1416499","Approve","Reject","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"284",7,"1446006","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"285",7,"1549100","Reject","Approve","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"286",7,"1593711","Approve","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"287",7,"1608526","Approve","Approve","Reject","Approve","Approve","Reject",NA,NA,NA,NA
"288",7,"2089773","Approve","Reject","Approve","Reject","Reject","Approve",NA,NA,NA,NA
"289",7,"2217033","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"290",7,"3296223","Approve","Approve","Reject","Approve","Approve","Reject",NA,NA,NA,NA
"291",8,"1313388","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"292",8,"1318579","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"293",8,"1428542","Reject","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"294",8,"1510063","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"295",8,"1544722","Approve","Approve",NA,"Approve","Approve","Reject",NA,NA,NA,NA
"296",8,"1559058","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"297",8,"1618903","Approve","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"298",8,"2380536","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"299",8,"3054732","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
